Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-24 16:54:33,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,19451595,76640.0,2333.5,518.4
2020-12-24 16:54:34,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,23293382,76440.0,2538.9,615.3
2020-12-24 16:54:35,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,22029716,76640.0,2568.0,299.3
2020-12-24 16:54:36,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,23927235,76160.0,2612.7,329.6
2020-12-24 16:54:37,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,18841945,76560.0,2175.0,509.6
2020-12-24 16:54:38,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,23054659,76600.0,2642.7,353.1
2020-12-24 16:54:39,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25845672,76480.0,2741.7,598.0
2020-12-24 16:54:40,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,21424203,76520.0,2491.9,641.3
2020-12-24 16:54:41,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,22160443,76440.0,2592.7,329.1
2020-12-24 16:54:42,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,22508446,76480.0,2587.5,411.0
2020-12-24 16:54:43,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,23486322,76520.0,2483.0,549.6
2020-12-24 16:54:44,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,20460582,76600.0,2344.6,454.5
2020-12-24 16:54:45,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,26837267,76680.0,2942.8,422.9
2020-12-24 16:54:46,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,25376982,76360.0,2746.6,502.9
2020-12-24 16:54:47,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,21775255,76600.0,2499.3,391.5
2020-12-24 16:54:48,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25692494,76640.0,2781.9,351.1
2020-12-24 16:54:49,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,22965833,76600.0,2486.2,560.1
2020-12-24 16:54:50,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26702437,76640.0,2707.8,707.9
2020-12-24 16:54:51,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,23331475,76680.0,2635.5,344.5
2020-12-24 16:54:52,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,25581442,76680.0,2727.9,545.4
2020-12-24 16:54:53,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,21982868,76600.0,2382.2,507.9
2020-12-24 16:54:54,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,22016214,76680.0,2426.0,379.6
2020-12-24 16:54:55,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,25456243,76680.0,2758.6,506.2
2020-12-24 16:54:56,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,23532915,76680.0,2603.2,291.2
2020-12-24 16:54:57,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,22498771,76640.0,2554.5,362.2
