# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    2    76    44     -    25     3     0     0  6800  1350     0     0  5563    15     -     -     0   246     2
    0   104    48     -    26     8     0     0  6800  1905     0     0  5621    15     -     -     0     0    36
    1   114    54     -    19     3     0     0  6800  1905     0     0  8254    19     -     -     0     3     0
    2    71    45     -    22     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    87    48     -    10     3     0     0  6800  1905     0     0  5621    15     -     -     0     0     0
    1    91    54     -    22     3     0     0  6800  1905     0     0  8254    19     -     -     0    74    16
    2    77    44     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0    76     2
    0    69    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0   257     6
    1   110    54     -    24     3     0     0  6800  1905     0     0  8254    19     -     -     0   115     0
    2    77    45     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0    76     2
    0    62    47     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    72    53     -    28     3     0     0  6800  1515     0     0  8254    19     -     -     0    48     0
    2    86    44     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    47     -     9     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   128    54     -    28     3     0     0  6800  1905     0     0  8254    19     -     -     0   331    19
    2    71    44     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0   104     3
    0    62    47     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   110    54     -    29     4     0     0  6800  1905     0     0  8254    19     -     -     0   139     3
    2    66    44     -    20     2     0     0  6800  1350     0     0  5563    15     -     -     0    71     3
    0    72    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0   271     3
    1   100    54     -    28     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    73    45     -    18     3     0     0  6800  1350     0     0  5563    15     -     -     0    84     3
    0    62    47     -    16     5     0     0  6800  1350     0     0  5621    15     -     -     0    16     0
    1   100    54     -    24     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    81    45     -    18     3     0     0  6800  1455     0     0  5563    15     -     -     0   261     6
    0    72    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   106    54     -    28     3     0     0  6800  1905     0     0  8254    19     -     -     0     0    11
    2    77    45     -    16     2     0     0  6800  1350     0     0  5563    15     -     -     0   263     6
    0    72    47     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   105    54     -    28     3     0     0  6800  1905     0     0  8254    19     -     -     0    12    11
    2    73    45     -    18     2     0     0  6800  1350     0     0  5563    15     -     -     0    16     0
    0    78    47     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   277     2
    1    98    54     -    31     4     0     0  6800  1905     0     0  8254    19     -     -     0     0     8
    2    77    44     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0    80     1
    0    62    47     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    1    76    53     -    32     3     0     0  6800  1755     0     0  8254    19     -     -     0     0     0
    2    71    45     -    15     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    47     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   276     2
    1    91    54     -    25     3     0     0  6800  1905     0     0  8254    19     -     -     0   130    76
    2    66    45     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0    69     5
    0    62    48     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     3     0
    1   106    55     -    23     3     0     0  6800  1905     0     0  8254    19     -     -     0     1     0
    2    77    45     -    24     3     0     0  6800  1455     0     0  5563    15     -     -     0     2     1
    0    62    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     6     0
    1    81    53     -    20     3     0     0  6800  1605     0     0  8254    19     -     -     0    14     0
    2    74    45     -    18     3     0     0  6800  1455     0     0  5563    15     -     -     0    44     0
    0    80    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0   264     7
    1    77    53     -    30     3     0     0  6800  1605     0     0  8254    19     -     -     0     0     0
    2    80    45     -    18     3     0     0  6800  1350     0     0  5563    15     -     -     0    79     1
    0    69    47     -     9     2     0     0  6800  1350     0     0  5621    15     -     -     0   206     3
    1   128    54     -    32     4     0     0  6800  1905     0     0  8254    19     -     -     0    80   231
    2    77    45     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    48     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    94    54     -    24     3     0     0  6800  1905     0     0  8254    19     -     -     0    14     0
    2    71    45     -    24     3     0     0  6800  1350     0     0  5563    15     -     -     0    75     0
    0    72    48     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     1     0
    1    65    53     -    26     3     0     0  6800  1365     0     0  8254    19     -     -     0     0    16
    2    77    45     -    21     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    72    47     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   271    40
    1    72    53     -    22     2     0     0  6800  1575     0     0  8254    19     -     -     0     0    11
    2    66    45     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0    67     4
    0    72    47     -    13     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    83    53     -    30     3     0     0  6800  1575     0     0  8254    19     -     -     0   135     4
    2    66    45     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0   284     0
    0    72    47     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   100    54     -    32     4     0     0  6800  1905     0     0  8254    19     -     -     0   134     4
    2    71    45     -    15     2     0     0  6800  1350     0     0  5563    15     -     -     0    71     3
    0    72    47     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   115    55     -    22     3     0     0  6800  1905     0     0  8254    19     -     -     0   146     2
    2    66    46     -    21     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    80    47     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   115    55     -    27     3     0     0  6800  1905     0     0  8254    19     -     -     0  3477    90
    2    71    45     -    15     2     0     0  6800  1350     0     0  5563    15     -     -     0    16     0
    0    66    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0     9     0
    1   125    55     -    31     4     0     0  6800  1905     0     0  8254    19     -     -     0    18     0
    2    66    45     -    18     2     0     0  6800  1350     0     0  5563    15     -     -     0     3    15
    0    72    47     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   283     0
    1   106    55     -    29     3     0     0  6800  1905     0     0  8254    19     -     -     0    20     0
    2    73    45     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
